from	to
b39b6ab2d93328a96efeea19175d95d833ba378d	13006e447608bb62383d1d59bb11a93e957be7cf
20313af216272eff3285cdc0be862fa9ae3a0ca3	f02ea45d3f350f5bca63fa13908ac39ae2cc2180
45acf8f7a8232ee4cee6294de58075c1565d4df3	9d4fd64feb016eab2ee450703f4efc1b2eb14deb
74a1f6d983fd69a9c3974c1c9ae831026615c707	7a65a5ca6e241f7df9cd66113245c9cf41d9b60f
a5f4ed518286ed614fe317c95d8a287a94c923c9	726849ba03d72b5c4f58da88e4709df4a461ca01
ab80312f79209409b638b261c61fe73070d12818	cfafc6bdd1b92e510d5409ee460bb1a712165aa8
b8e36e5f926ee4928ce564050148c902f7cb782b	a4bc74b650241ae2f90225b5789d687c2e26b440
0bacb8024f58add1b22641a791d47aa9eb752acf	13006e447608bb62383d1d59bb11a93e957be7cf
7c4e5fcd974702c7a4f23f9782dbd80a63638216	13006e447608bb62383d1d59bb11a93e957be7cf
d8af7e871b20c6a84d78ef458bbc252d39802104	0b63d2376418700db73abce955b3cf03a352a310
eeb77a24dc66658223cddba668b72e812f3fde67	aa41ca850323660e85af507548449f3aba2b5a19
75f9af7483ef01635a6b80ec1b1f51c2024e22c8	13006e447608bb62383d1d59bb11a93e957be7cf
e468a9e3d1fc6983d6aea9266d99a5daeebac58a	13006e447608bb62383d1d59bb11a93e957be7cf
8b87d5d4ccabc26a99d44bec19c5f25f0a0d6019	13006e447608bb62383d1d59bb11a93e957be7cf
367dab908cdd0058f51a26dd107f9c41549f51c2	776e273eef19cf80c1ea17b193fc86c3b581995a
571eb3b3818d6360c3832a5d6ebafcd8c266b7ce	5ad4ac94bc8e4e1b80ae74db25727900fe68e87d
c4c04add0fe21ecc4f186893bfc714da0cfd5ac3	13006e447608bb62383d1d59bb11a93e957be7cf
9ea5c73eef6fe5b1df238930c5a3b8dd82ff1422	13006e447608bb62383d1d59bb11a93e957be7cf
6706a45d13685950308eff93b45d1a4ebb054f84	13006e447608bb62383d1d59bb11a93e957be7cf
57cea99437a5e01eabb137134f1ced8bdba974f8	13006e447608bb62383d1d59bb11a93e957be7cf
d30ebe002f4e8d27b4121a9229fdbc9d069aad86	13006e447608bb62383d1d59bb11a93e957be7cf
fc23dd69b6968c8623db910984886c94cc2236aa	13006e447608bb62383d1d59bb11a93e957be7cf
08b804864e367416924775cb96c3d7ba40cc81f6	0050ee455720cc8baba740a622311f8f2d8ac0aa
29984aadadb3927fb8c0cf5a539a282f39066332	62a90760c7ce5cbadbb64188ad075e9a52518d41
5ed8b5b1bcac0adb3205a779a70b7e6cc285c2bb	62a90760c7ce5cbadbb64188ad075e9a52518d41
67cd91fa3f9bbd96c7f5fc59a54b1b85a4c3a50b	aa41ca850323660e85af507548449f3aba2b5a19
b27a34dd7abcb8133503c989d0c95be1cd1ad34a	2cf21faa2d4e3f5c6517def04e1b3912da22d5ec
cef46057e46a9b73f77ca048f7fd511234525c39	08ff7150cdeb62a81418ebe0f1125faea3044ade
37ed9424465f9ff2f6a012e688de8735cb9e2afb	13006e447608bb62383d1d59bb11a93e957be7cf
5fae2734cd11029d8bccbcdc3752bf0299c0934c	13006e447608bb62383d1d59bb11a93e957be7cf
3aead7ef230851487173f944a4fa1a7b4ec6da7f	13006e447608bb62383d1d59bb11a93e957be7cf
4f6e412580e7a93a104836d596f8d6c8be0ef431	ca30d150b590826a4633a5f99e05ad6571f9bb66
af5f9d8e61b37777d67e9647c1815e79c599d4c4	62a90760c7ce5cbadbb64188ad075e9a52518d41
1ddb4e46810806b5fbf67ac69b84ca48b8cbed1f	13006e447608bb62383d1d59bb11a93e957be7cf
944991724cfa9e218f73ba03608913da9a21f9b7	971561f9ab29acbd6d1dc7b17f0bb6c386ad311b
c2d42368d94e2d5d82f3b05a06ec53ebfb81ce0f	f304a4229561aeba13425710acf1f46c9f24f1eb
1d9903f7b14f6e12a278bb2e83f51bd9429ab482	13006e447608bb62383d1d59bb11a93e957be7cf
ca787cdb322df3ad5b9e230baba8346f1bf8fe8b	13006e447608bb62383d1d59bb11a93e957be7cf
553bcf02058310ef1ac91a1588ea114c436eafaa	13006e447608bb62383d1d59bb11a93e957be7cf
06a45f4a92fa07e93b314790ee03bb754f5da628	14727c710ba8ef84481b03d718c92812bfcb6058
411fa6e02e08d0dd0db3b9167f8c349039288954	a53a6fe2d8ad977ad926c485343ba39f32d3a3f6
6161a36b7bd4d469a11803535816aac9829ad5cc	f304a4229561aeba13425710acf1f46c9f24f1eb
9501a0da5ac0671b6744d1c951863ac2b794d282	71955e1b30e2b0585188466f1b241b6004d75dc4
f39ac5187ef76203fe800f0beda87a148561b341	5c6c197c27d5bf73929e1aba7d451bbdf53e6ce8
af1bec9b5a0a35199529e8b8e7bc5b74c9bfd252	13006e447608bb62383d1d59bb11a93e957be7cf
